username,anime_name,anime_link,recommended,rating_user
regithegamer,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,https://myanimelist.net/anime/42916/Sword_Art_Online__Progressive_Movie_-_Hoshi_Naki_Yoru_no_Aria,Recommended,9
SCTB95,Hanma Baki: Son of Ogre 2nd Season,https://myanimelist.net/anime/51318/Hanma_Baki__Son_of_Ogre_2nd_Season,Not Recommended,3
OniTojiSan,Nakitai Watashi wa Neko wo Kaburu,https://myanimelist.net/anime/41168/Nakitai_Watashi_wa_Neko_wo_Kaburu,Recommended,10
PixelB,My Home Hero,https://myanimelist.net/anime/52092/My_Home_Hero,Recommended,7
oyundefteri,Kanashimi no Belladonna,https://myanimelist.net/anime/3220/Kanashimi_no_Belladonna,Recommended,9
mozzarella0,Akuyaku Reijou nanode Last Boss wo Kattemimashita,https://myanimelist.net/anime/49979/Akuyaku_Reijou_nanode_Last_Boss_wo_Kattemimashita,Not Recommended,4
Tater12,86,https://myanimelist.net/anime/41457/86,Not Recommended,4
NevesPT,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,Recommended,9
TruTruTruTru,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Recommended,8
Hardlinetable83,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,Recommended,10
NevesPT,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai,Recommended,9
doo78,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,https://myanimelist.net/anime/33502/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,Recommended,9
SgtSalamander,Oneechan ga Kita,https://myanimelist.net/anime/20931/Oneechan_ga_Kita,Recommended,6
BlackBusterMAL,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Recommended,9
SgtSalamander,Bernard-jou Iwaku.,https://myanimelist.net/anime/33462/Bernard-jou_Iwaku,Recommended,6
YudiYusantoS,Mirai no Mirai,https://myanimelist.net/anime/36936/Mirai_no_Mirai,Recommended,9
StinkyNEET,Kami-tachi ni Hirowareta Otoko 2nd Season,https://myanimelist.net/anime/49109/Kami-tachi_ni_Hirowareta_Otoko_2nd_Season,Not Recommended,4
baxa,Shuumatsu no Walküre II,https://myanimelist.net/anime/49618/Shuumatsu_no_Walküre_II,Recommended,10
Spencerio,Hotaru no Haka,https://myanimelist.net/anime/578/Hotaru_no_Haka,Recommended,7
Jinrooo,Princess Principal: Crown Handler Movie 3,https://myanimelist.net/anime/41141/Princess_Principal__Crown_Handler_Movie_3,Recommended,9
Kuroto_Dan,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,Recommended,9
flipflop_anime,Ore Monogatari!!,https://myanimelist.net/anime/28297/Ore_Monogatari,Recommended,9
CaptainKenshiro,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,Recommended,7
Benx2019,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,Recommended,8
x_mk_x,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,Recommended,10
bergars,Exception,https://myanimelist.net/anime/49163/Exception,Recommended,8
lenoftroy,Wotaku ni Koi wa Muzukashii,https://myanimelist.net/anime/35968/Wotaku_ni_Koi_wa_Muzukashii,Not Recommended,4
fruitylea,Death Note,https://myanimelist.net/anime/1535/Death_Note,Not Recommended,4
ilyos92,Akame ga Kill!,https://myanimelist.net/anime/22199/Akame_ga_Kill,Recommended,9
aaoi_,Dorohedoro,https://myanimelist.net/anime/38668/Dorohedoro,Recommended,8
NicoRobinnn11,Domestic na Kanojo,https://myanimelist.net/anime/37982/Domestic_na_Kanojo,Recommended,10
delsix,Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0,Recommended,10
rotakuguy,Naruto,https://myanimelist.net/anime/20/Naruto,Recommended,10
jus7aguy,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,https://myanimelist.net/anime/46985/Shinka_no_Mi__Shiranai_Uchi_ni_Kachigumi_Jinsei,Recommended,7
rotakuguy,Bleach,https://myanimelist.net/anime/269/Bleach,Not Recommended,5
Tablekun,SSSS.Gridman,https://myanimelist.net/anime/35847/SSSSGridman,Not Recommended,6
ArsyadDono,Skip to Loafer,https://myanimelist.net/anime/50416/Skip_to_Loafer,Recommended,10
anime_sky65,Netsuzou TRap,https://myanimelist.net/anime/34383/Netsuzou_TRap,Not Recommended,2
Cayusashi,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,Recommended,8
UrOpinionsRGarb,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,Not Recommended,1
EmperorOfMankind,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,https://myanimelist.net/anime/51128/Noumin_Kanren_no_Skill_bakka_Agetetara_Nazeka_Tsuyoku_Natta,Not Recommended,2
ClannadLover9,86,https://myanimelist.net/anime/41457/86,Not Recommended,4
CrowTheCryptid,Fantasy Bishoujo Juniku Ojisan to,https://myanimelist.net/anime/48997/Fantasy_Bishoujo_Juniku_Ojisan_to,Recommended,10
HoodedOctoGamer,Marulk-chan no Nichijou,https://myanimelist.net/anime/40897/Marulk-chan_no_Nichijou,Recommended,8
IamMalexX,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Recommended,10
IamMalexX,Spy x Family,https://myanimelist.net/anime/50265/Spy_x_Family,Recommended,9
oozePOP,Kidou Senshi Gundam I,https://myanimelist.net/anime/1090/Kidou_Senshi_Gundam_I,Recommended,8
literaturenerd,Hoozuki no Reitetsu,https://myanimelist.net/anime/20431/Hoozuki_no_Reitetsu,Recommended,8
The_Uzumaki_A,Beelzebub,https://myanimelist.net/anime/9513/Beelzebub,Recommended,6
Zinnia17,Blue Period,https://myanimelist.net/anime/46352/Blue_Period,Recommended,9
regithegamer,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,https://myanimelist.net/anime/42916/Sword_Art_Online__Progressive_Movie_-_Hoshi_Naki_Yoru_no_Aria,Recommended,9
SCTB95,Hanma Baki: Son of Ogre 2nd Season,https://myanimelist.net/anime/51318/Hanma_Baki__Son_of_Ogre_2nd_Season,Not Recommended,3
OniTojiSan,Nakitai Watashi wa Neko wo Kaburu,https://myanimelist.net/anime/41168/Nakitai_Watashi_wa_Neko_wo_Kaburu,Recommended,10
PixelB,My Home Hero,https://myanimelist.net/anime/52092/My_Home_Hero,Recommended,7
oyundefteri,Kanashimi no Belladonna,https://myanimelist.net/anime/3220/Kanashimi_no_Belladonna,Recommended,9
mozzarella0,Akuyaku Reijou nanode Last Boss wo Kattemimashita,https://myanimelist.net/anime/49979/Akuyaku_Reijou_nanode_Last_Boss_wo_Kattemimashita,Not Recommended,4
Tater12,86,https://myanimelist.net/anime/41457/86,Not Recommended,4
NevesPT,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,Recommended,9
TruTruTruTru,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Recommended,8
Hardlinetable83,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,Recommended,10
NevesPT,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai,Recommended,9
doo78,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,https://myanimelist.net/anime/33502/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,Recommended,9
SgtSalamander,Oneechan ga Kita,https://myanimelist.net/anime/20931/Oneechan_ga_Kita,Recommended,6
BlackBusterMAL,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Recommended,9
SgtSalamander,Bernard-jou Iwaku.,https://myanimelist.net/anime/33462/Bernard-jou_Iwaku,Recommended,6
YudiYusantoS,Mirai no Mirai,https://myanimelist.net/anime/36936/Mirai_no_Mirai,Recommended,9
StinkyNEET,Kami-tachi ni Hirowareta Otoko 2nd Season,https://myanimelist.net/anime/49109/Kami-tachi_ni_Hirowareta_Otoko_2nd_Season,Not Recommended,4
baxa,Shuumatsu no Walküre II,https://myanimelist.net/anime/49618/Shuumatsu_no_Walküre_II,Recommended,10
Spencerio,Hotaru no Haka,https://myanimelist.net/anime/578/Hotaru_no_Haka,Recommended,7
Jinrooo,Princess Principal: Crown Handler Movie 3,https://myanimelist.net/anime/41141/Princess_Principal__Crown_Handler_Movie_3,Recommended,9
Kuroto_Dan,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,Recommended,9
flipflop_anime,Ore Monogatari!!,https://myanimelist.net/anime/28297/Ore_Monogatari,Recommended,9
CaptainKenshiro,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,Recommended,7
Benx2019,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,Recommended,8
x_mk_x,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,Recommended,10
bergars,Exception,https://myanimelist.net/anime/49163/Exception,Recommended,8
lenoftroy,Wotaku ni Koi wa Muzukashii,https://myanimelist.net/anime/35968/Wotaku_ni_Koi_wa_Muzukashii,Not Recommended,4
fruitylea,Death Note,https://myanimelist.net/anime/1535/Death_Note,Not Recommended,4
ilyos92,Akame ga Kill!,https://myanimelist.net/anime/22199/Akame_ga_Kill,Recommended,9
aaoi_,Dorohedoro,https://myanimelist.net/anime/38668/Dorohedoro,Recommended,8
NicoRobinnn11,Domestic na Kanojo,https://myanimelist.net/anime/37982/Domestic_na_Kanojo,Recommended,10
delsix,Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0,Recommended,10
rotakuguy,Naruto,https://myanimelist.net/anime/20/Naruto,Recommended,10
jus7aguy,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,https://myanimelist.net/anime/46985/Shinka_no_Mi__Shiranai_Uchi_ni_Kachigumi_Jinsei,Recommended,7
rotakuguy,Bleach,https://myanimelist.net/anime/269/Bleach,Not Recommended,5
Tablekun,SSSS.Gridman,https://myanimelist.net/anime/35847/SSSSGridman,Not Recommended,6
ArsyadDono,Skip to Loafer,https://myanimelist.net/anime/50416/Skip_to_Loafer,Recommended,10
anime_sky65,Netsuzou TRap,https://myanimelist.net/anime/34383/Netsuzou_TRap,Not Recommended,2
Cayusashi,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,Recommended,8
UrOpinionsRGarb,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,Not Recommended,1
EmperorOfMankind,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,https://myanimelist.net/anime/51128/Noumin_Kanren_no_Skill_bakka_Agetetara_Nazeka_Tsuyoku_Natta,Not Recommended,2
ClannadLover9,86,https://myanimelist.net/anime/41457/86,Not Recommended,4
CrowTheCryptid,Fantasy Bishoujo Juniku Ojisan to,https://myanimelist.net/anime/48997/Fantasy_Bishoujo_Juniku_Ojisan_to,Recommended,10
HoodedOctoGamer,Marulk-chan no Nichijou,https://myanimelist.net/anime/40897/Marulk-chan_no_Nichijou,Recommended,8
IamMalexX,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Recommended,10
IamMalexX,Spy x Family,https://myanimelist.net/anime/50265/Spy_x_Family,Recommended,9
oozePOP,Kidou Senshi Gundam I,https://myanimelist.net/anime/1090/Kidou_Senshi_Gundam_I,Recommended,8
literaturenerd,Hoozuki no Reitetsu,https://myanimelist.net/anime/20431/Hoozuki_no_Reitetsu,Recommended,8
The_Uzumaki_A,Beelzebub,https://myanimelist.net/anime/9513/Beelzebub,Recommended,6
Zinnia17,Blue Period,https://myanimelist.net/anime/46352/Blue_Period,Recommended,9
regithegamer,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,https://myanimelist.net/anime/42916/Sword_Art_Online__Progressive_Movie_-_Hoshi_Naki_Yoru_no_Aria,Recommended,9
SCTB95,Hanma Baki: Son of Ogre 2nd Season,https://myanimelist.net/anime/51318/Hanma_Baki__Son_of_Ogre_2nd_Season,Not Recommended,3
OniTojiSan,Nakitai Watashi wa Neko wo Kaburu,https://myanimelist.net/anime/41168/Nakitai_Watashi_wa_Neko_wo_Kaburu,Recommended,10
PixelB,My Home Hero,https://myanimelist.net/anime/52092/My_Home_Hero,Recommended,7
oyundefteri,Kanashimi no Belladonna,https://myanimelist.net/anime/3220/Kanashimi_no_Belladonna,Recommended,9
mozzarella0,Akuyaku Reijou nanode Last Boss wo Kattemimashita,https://myanimelist.net/anime/49979/Akuyaku_Reijou_nanode_Last_Boss_wo_Kattemimashita,Not Recommended,4
Tater12,86,https://myanimelist.net/anime/41457/86,Not Recommended,4
NevesPT,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,Recommended,9
TruTruTruTru,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Recommended,8
Hardlinetable83,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,Recommended,10
NevesPT,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai,Recommended,9
doo78,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,https://myanimelist.net/anime/33502/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,Recommended,9
SgtSalamander,Oneechan ga Kita,https://myanimelist.net/anime/20931/Oneechan_ga_Kita,Recommended,6
BlackBusterMAL,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Recommended,9
SgtSalamander,Bernard-jou Iwaku.,https://myanimelist.net/anime/33462/Bernard-jou_Iwaku,Recommended,6
YudiYusantoS,Mirai no Mirai,https://myanimelist.net/anime/36936/Mirai_no_Mirai,Recommended,9
StinkyNEET,Kami-tachi ni Hirowareta Otoko 2nd Season,https://myanimelist.net/anime/49109/Kami-tachi_ni_Hirowareta_Otoko_2nd_Season,Not Recommended,4
baxa,Shuumatsu no Walküre II,https://myanimelist.net/anime/49618/Shuumatsu_no_Walküre_II,Recommended,10
Spencerio,Hotaru no Haka,https://myanimelist.net/anime/578/Hotaru_no_Haka,Recommended,7
Jinrooo,Princess Principal: Crown Handler Movie 3,https://myanimelist.net/anime/41141/Princess_Principal__Crown_Handler_Movie_3,Recommended,9
Kuroto_Dan,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,Recommended,9
flipflop_anime,Ore Monogatari!!,https://myanimelist.net/anime/28297/Ore_Monogatari,Recommended,9
CaptainKenshiro,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,Recommended,7
Benx2019,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,Recommended,8
x_mk_x,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,Recommended,10
bergars,Exception,https://myanimelist.net/anime/49163/Exception,Recommended,8
lenoftroy,Wotaku ni Koi wa Muzukashii,https://myanimelist.net/anime/35968/Wotaku_ni_Koi_wa_Muzukashii,Not Recommended,4
fruitylea,Death Note,https://myanimelist.net/anime/1535/Death_Note,Not Recommended,4
ilyos92,Akame ga Kill!,https://myanimelist.net/anime/22199/Akame_ga_Kill,Recommended,9
aaoi_,Dorohedoro,https://myanimelist.net/anime/38668/Dorohedoro,Recommended,8
NicoRobinnn11,Domestic na Kanojo,https://myanimelist.net/anime/37982/Domestic_na_Kanojo,Recommended,10
delsix,Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0,Recommended,10
rotakuguy,Naruto,https://myanimelist.net/anime/20/Naruto,Recommended,10
jus7aguy,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,https://myanimelist.net/anime/46985/Shinka_no_Mi__Shiranai_Uchi_ni_Kachigumi_Jinsei,Recommended,7
rotakuguy,Bleach,https://myanimelist.net/anime/269/Bleach,Not Recommended,5
Tablekun,SSSS.Gridman,https://myanimelist.net/anime/35847/SSSSGridman,Not Recommended,6
ArsyadDono,Skip to Loafer,https://myanimelist.net/anime/50416/Skip_to_Loafer,Recommended,10
anime_sky65,Netsuzou TRap,https://myanimelist.net/anime/34383/Netsuzou_TRap,Not Recommended,2
Cayusashi,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,Recommended,8
UrOpinionsRGarb,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,Not Recommended,1
EmperorOfMankind,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,https://myanimelist.net/anime/51128/Noumin_Kanren_no_Skill_bakka_Agetetara_Nazeka_Tsuyoku_Natta,Not Recommended,2
ClannadLover9,86,https://myanimelist.net/anime/41457/86,Not Recommended,4
CrowTheCryptid,Fantasy Bishoujo Juniku Ojisan to,https://myanimelist.net/anime/48997/Fantasy_Bishoujo_Juniku_Ojisan_to,Recommended,10
HoodedOctoGamer,Marulk-chan no Nichijou,https://myanimelist.net/anime/40897/Marulk-chan_no_Nichijou,Recommended,8
IamMalexX,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Recommended,10
IamMalexX,Spy x Family,https://myanimelist.net/anime/50265/Spy_x_Family,Recommended,9
oozePOP,Kidou Senshi Gundam I,https://myanimelist.net/anime/1090/Kidou_Senshi_Gundam_I,Recommended,8
literaturenerd,Hoozuki no Reitetsu,https://myanimelist.net/anime/20431/Hoozuki_no_Reitetsu,Recommended,8
The_Uzumaki_A,Beelzebub,https://myanimelist.net/anime/9513/Beelzebub,Recommended,6
Zinnia17,Blue Period,https://myanimelist.net/anime/46352/Blue_Period,Recommended,9
regithegamer,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,https://myanimelist.net/anime/42916/Sword_Art_Online__Progressive_Movie_-_Hoshi_Naki_Yoru_no_Aria,Recommended,9
SCTB95,Hanma Baki: Son of Ogre 2nd Season,https://myanimelist.net/anime/51318/Hanma_Baki__Son_of_Ogre_2nd_Season,Not Recommended,3
OniTojiSan,Nakitai Watashi wa Neko wo Kaburu,https://myanimelist.net/anime/41168/Nakitai_Watashi_wa_Neko_wo_Kaburu,Recommended,10
PixelB,My Home Hero,https://myanimelist.net/anime/52092/My_Home_Hero,Recommended,7
oyundefteri,Kanashimi no Belladonna,https://myanimelist.net/anime/3220/Kanashimi_no_Belladonna,Recommended,9
mozzarella0,Akuyaku Reijou nanode Last Boss wo Kattemimashita,https://myanimelist.net/anime/49979/Akuyaku_Reijou_nanode_Last_Boss_wo_Kattemimashita,Not Recommended,4
Tater12,86,https://myanimelist.net/anime/41457/86,Not Recommended,4
NevesPT,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,Recommended,9
TruTruTruTru,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Recommended,8
Hardlinetable83,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,Recommended,10
NevesPT,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai,Recommended,9
doo78,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,https://myanimelist.net/anime/33502/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka,Recommended,9
SgtSalamander,Oneechan ga Kita,https://myanimelist.net/anime/20931/Oneechan_ga_Kita,Recommended,6
BlackBusterMAL,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,Recommended,9
SgtSalamander,Bernard-jou Iwaku.,https://myanimelist.net/anime/33462/Bernard-jou_Iwaku,Recommended,6
YudiYusantoS,Mirai no Mirai,https://myanimelist.net/anime/36936/Mirai_no_Mirai,Recommended,9
StinkyNEET,Kami-tachi ni Hirowareta Otoko 2nd Season,https://myanimelist.net/anime/49109/Kami-tachi_ni_Hirowareta_Otoko_2nd_Season,Not Recommended,4
baxa,Shuumatsu no Walküre II,https://myanimelist.net/anime/49618/Shuumatsu_no_Walküre_II,Recommended,10
Spencerio,Hotaru no Haka,https://myanimelist.net/anime/578/Hotaru_no_Haka,Recommended,7
Jinrooo,Princess Principal: Crown Handler Movie 3,https://myanimelist.net/anime/41141/Princess_Principal__Crown_Handler_Movie_3,Recommended,9
Kuroto_Dan,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,Recommended,9
flipflop_anime,Ore Monogatari!!,https://myanimelist.net/anime/28297/Ore_Monogatari,Recommended,9
CaptainKenshiro,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,Recommended,7
Benx2019,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,Recommended,8
x_mk_x,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,Recommended,10
bergars,Exception,https://myanimelist.net/anime/49163/Exception,Recommended,8
lenoftroy,Wotaku ni Koi wa Muzukashii,https://myanimelist.net/anime/35968/Wotaku_ni_Koi_wa_Muzukashii,Not Recommended,4
fruitylea,Death Note,https://myanimelist.net/anime/1535/Death_Note,Not Recommended,4
ilyos92,Akame ga Kill!,https://myanimelist.net/anime/22199/Akame_ga_Kill,Recommended,9
aaoi_,Dorohedoro,https://myanimelist.net/anime/38668/Dorohedoro,Recommended,8
NicoRobinnn11,Domestic na Kanojo,https://myanimelist.net/anime/37982/Domestic_na_Kanojo,Recommended,10
delsix,Steins;Gate 0,https://myanimelist.net/anime/30484/Steins_Gate_0,Recommended,10
rotakuguy,Naruto,https://myanimelist.net/anime/20/Naruto,Recommended,10
jus7aguy,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,https://myanimelist.net/anime/46985/Shinka_no_Mi__Shiranai_Uchi_ni_Kachigumi_Jinsei,Recommended,7
rotakuguy,Bleach,https://myanimelist.net/anime/269/Bleach,Not Recommended,5
Tablekun,SSSS.Gridman,https://myanimelist.net/anime/35847/SSSSGridman,Not Recommended,6
ArsyadDono,Skip to Loafer,https://myanimelist.net/anime/50416/Skip_to_Loafer,Recommended,10
anime_sky65,Netsuzou TRap,https://myanimelist.net/anime/34383/Netsuzou_TRap,Not Recommended,2
Cayusashi,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,Recommended,8
UrOpinionsRGarb,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,Not Recommended,1
EmperorOfMankind,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,https://myanimelist.net/anime/51128/Noumin_Kanren_no_Skill_bakka_Agetetara_Nazeka_Tsuyoku_Natta,Not Recommended,2
ClannadLover9,86,https://myanimelist.net/anime/41457/86,Not Recommended,4
CrowTheCryptid,Fantasy Bishoujo Juniku Ojisan to,https://myanimelist.net/anime/48997/Fantasy_Bishoujo_Juniku_Ojisan_to,Recommended,10
HoodedOctoGamer,Marulk-chan no Nichijou,https://myanimelist.net/anime/40897/Marulk-chan_no_Nichijou,Recommended,8
IamMalexX,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Recommended,10
IamMalexX,Spy x Family,https://myanimelist.net/anime/50265/Spy_x_Family,Recommended,9
oozePOP,Kidou Senshi Gundam I,https://myanimelist.net/anime/1090/Kidou_Senshi_Gundam_I,Recommended,8
literaturenerd,Hoozuki no Reitetsu,https://myanimelist.net/anime/20431/Hoozuki_no_Reitetsu,Recommended,8
The_Uzumaki_A,Beelzebub,https://myanimelist.net/anime/9513/Beelzebub,Recommended,6
Zinnia17,Blue Period,https://myanimelist.net/anime/46352/Blue_Period,Recommended,9
